地名,センター,プラスチック,ペットボトル,びん,かん,雑誌・雑紙,紙パック,段ボール,新聞,古着・古布,可燃ごみ,不燃ごみ,有害ごみ
川町（松子舞団地を除く）,収集地区2,月,隔金20140110,隔火20140107,隔火20140114,隔水20140108,隔水20140108,隔水20140108,隔水20140115,隔火20140107,月 木,隔木20140116,隔木20140116
北野台１〜５丁目,収集地区4,火,隔月20140113,隔水20140115,隔水20140108,隔木20140116,隔木20140116,隔木20140116,隔水20140115,隔水20140115,月 木,隔金20140110,隔金20140110
北野町（1653・1654番地）,収集地区14,木,隔水20140115,隔金20140117,隔金20140110,隔月20140113,隔月20140113,隔月20140113,隔水20140108,隔金20140117,火 金,隔火20140107,隔火20140107
北野町（1653・1654番地を除く）,収集地区8,水,隔火20140114,隔木20140116,隔木20140109,隔金20140117,隔金20140117,隔金20140117,隔水20140115,隔木20140116,月 木,隔月20140106,隔月20140106
絹ヶ丘１〜３丁目,収集地区1,月,隔金20140117,隔火20140114,隔火20140107,隔水20140115,隔水20140115,隔水20140115,隔水20140115,隔火20140114,月 木,隔木20140109,隔木20140109
清川町,収集地区6,火,隔月20140113,隔水20140115,隔水20140108,隔木20140116,隔木20140116,隔木20140116,隔水20140108,隔水20140115,火 金,隔金20140110,隔金20140110
椚田町,収集地区10,水,隔火20140114,隔木20140116,隔木20140109,隔金20140117,隔金20140117,隔金20140117,隔水20140108,隔木20140116,火 金,隔月20140106,隔月20140106
久保山町１〜２丁目,収集地区18,金,隔木20140116,隔月20140113,隔月20140106,隔火20140114,隔火20140114,隔火20140114,隔水20140108,隔月20140113,火 金,隔水20140108,隔水20140108
越野,収集地区13,木,隔水20140115,隔金20140117,隔金20140110,隔月20140113,隔月20140113,隔月20140113,隔水20140115,隔金20140117,月 木,隔火20140107,隔火20140107
小比企町,収集地区6,火,隔月20140113,隔水20140115,隔水20140108,隔木20140116,隔木20140116,隔木20140116,隔水20140108,隔水20140115,火 金,隔金20140110,隔金20140110
小宮町,収集地区19,金,隔木20140109,隔月20140106,隔月20140113,隔火20140107,隔火20140107,隔火20140107,隔水20140108,隔月20140106,火 金,隔水20140115,隔水20140115
子安町１〜４丁目,収集地区17,金,隔木20140109,隔月20140106,隔月20140113,隔火20140107,隔火20140107,隔火20140107,隔水20140115,隔月20140106,月 木,隔水20140115,隔水20140115
左入町,収集地区7,火,隔月20140106,隔水20140108,隔水20140115,隔木20140109,隔木20140109,隔木20140109,隔水20140108,隔水20140108,火 金,隔金20140117,隔金20140117
散田町１〜５丁目,収集地区14,木,隔水20140115,隔金20140117,隔金20140110,隔月20140113,隔月20140113,隔月20140113,隔水20140108,隔金20140117,火 金,隔火20140107,隔火20140107
下恩方町,収集地区2,月,隔金20140110,隔火20140107,隔火20140114,隔水20140108,隔水20140108,隔水20140108,隔水20140115,隔火20140107,月 木,隔木20140116,隔木20140116
下柚木,収集地区5,火,隔月20140106,隔水20140108,隔水20140115,隔木20140109,隔木20140109,隔木20140109,隔水20140115,隔水20140108,月 木,隔金20140117,隔金20140117
下柚木２丁目,収集地区5,火,隔月20140106,隔水20140108,隔水20140115,隔木20140109,隔木20140109,隔木20140109,隔水20140115,隔水20140108,月 木,隔金20140117,隔金20140117
下柚木３丁目,収集地区12,木,隔水20140115,隔金20140117,隔金20140110,隔月20140113,隔月20140113,隔月20140113,隔水20140115,隔金20140117,月 木,隔火20140107,隔火20140107
城山手１〜２丁目,収集地区13,木,隔水20140115,隔金20140117,隔金20140110,隔月20140113,隔月20140113,隔月20140113,隔水20140115,隔金20140117,月 木,隔火20140107,隔火20140107
